%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
81771.856,302.368,0.942,0.920,0.399,-0.184,-3.134,-1.560,1.070,1.255,0.649,-1.349,-2.029,-3.852,0.224,1.148,3.698,-3.292,3.246,2.302,-0.622,-1.125,-1.009,-0.046,-0.088,0.000,535.048,336.269
81771.856,302.368,0.942,0.715,0.241,-0.024,-3.675,-1.895,0.535,0.941,0.649,-2.179,-2.990,-2.568,-0.446,0.939,3.170,-3.398,3.665,1.884,-0.415,-1.688,-1.019,-0.007,-0.078,-0.000,535.048,336.269
81775.888,302.367,0.942,0.920,0.399,-0.024,-3.459,-1.337,0.321,1.673,1.190,-1.764,-2.029,-2.461,-0.223,0.417,3.380,-2.973,3.665,1.988,0.311,-0.450,-0.999,-0.046,-0.078,-0.001,535.048,336.269
81775.888,302.368,0.942,0.715,0.241,0.136,-3.783,-1.560,0.856,0.523,0.649,-1.660,-2.242,-3.317,-0.223,1.461,2.852,-2.761,3.456,1.675,0.104,-0.675,-1.009,-0.046,-0.078,-0.000,535.048,336.269
81755.731,302.365,0.942,0.824,0.320,-0.184,-2.918,-1.783,0.535,1.150,0.216,-1.764,-1.708,-3.103,-0.446,1.148,3.908,-3.292,3.455,1.884,-0.104,-1.351,-0.999,-0.046,-0.078,-0.001,535.048,336.269
81787.982,302.368,0.942,0.824,0.320,-0.024,-2.918,-1.003,0.642,1.359,0.541,-2.075,-2.136,-2.782,-0.112,0.835,3.592,-2.548,2.932,1.884,0.311,-1.463,-0.999,-0.007,-0.088,-0.000,535.048,336.269
81779.919,302.370,0.942,0.920,0.399,-0.024,-3.567,-0.557,0.856,1.464,0.649,-1.245,-2.456,-2.996,-0.670,1.044,3.486,-2.655,4.083,1.465,-0.311,-0.338,-0.988,-0.026,-0.078,0.000,535.048,336.269
81775.888,302.372,0.942,0.920,0.399,-0.024,-3.891,-1.115,1.178,0.836,0.216,-1.557,-2.242,-3.103,-0.112,1.252,3.486,-2.867,3.979,2.930,-0.207,-1.463,-0.999,-0.065,-0.078,0.000,535.048,336.269
81779.919,302.373,0.942,0.920,0.399,-0.024,-3.134,-1.783,1.178,1.255,1.081,-1.972,-2.456,-2.247,-0.781,1.461,4.014,-3.398,3.874,2.302,0.415,-1.013,-0.988,-0.026,-0.098,-0.000,535.048,336.269
81779.919,302.372,0.942,0.824,0.320,-0.184,-3.026,-1.003,0.428,1.255,0.649,-1.660,-1.815,-2.247,0.224,1.252,3.592,-2.761,3.036,1.988,0.623,-0.788,-1.009,-0.046,-0.098,0.000,535.048,336.269
81775.888,302.372,0.942,0.824,0.320,0.136,-3.134,-1.449,1.178,0.523,0.757,-1.349,-2.349,-2.140,-0.781,1.983,3.275,-3.292,3.874,1.674,0.311,-0.563,-0.999,-0.065,-0.098,-0.001,535.048,336.269
